id,category_id,title,description,author,status,created_at,updated_at,category_name,url
15,7,Super Meat Boy,,,,2018-07-03T03:01:13.000Z,2018-07-03T03:01:13.000Z,Platform,http://gamelibrary.com:3000/v1/games/15.json
16,7,Super Mario Galaxy 2,,,,2018-07-03T03:01:13.000Z,2018-07-03T03:01:13.000Z,Platform,http://gamelibrary.com:3000/v1/games/16.json
20,7,Limbo,,,,2018-07-03T03:01:13.000Z,2018-07-03T03:01:13.000Z,Platform,http://gamelibrary.com:3000/v1/games/20.json
