id,category_id,title,description,author,status,created_at,updated_at,category_name,url
6,3,The Walking Dead,,,,2018-07-03T03:01:13.000Z,2018-07-03T03:01:13.000Z,Adventure,http://gamelibrary.com:3000/v1/games/6.json
8,3,Journey,,,,2018-07-03T03:01:13.000Z,2018-07-03T03:01:13.000Z,Adventure,http://gamelibrary.com:3000/v1/games/8.json
